question,answer
where can i find information about studying at the university of stirling?,"for questions about studying at the university of stirling, you can use the 'ask a question' form on our website. you can also chat with our student ambassadors for information about student life, accommodation, nightlife, dining options, and events in stirling."
who should i contact for questions about undergraduate course choices or the application process?,"for questions about undergraduate course choices or the application process, please contact our student recruitment team."
who should i contact after applying to the university of stirling?,"if you have applied to study at the university of stirling and have any questions, please get in touch with our admissions team."
where can i get information about postgraduate study at the university of stirling?,"for information about postgraduate study, including applications, entry requirements, and visas, please contact our graduate admissions team."
how can international students receive advice and support?,"international students can get in touch with our recruitment team for advice and support."
where can i download a prospectus for undergraduate or postgraduate study at the university of stirling?,"you can download our latest undergraduate or postgraduate prospectus from our website."
who should i contact for media enquiries about the university of stirling's work?,"for media enquiries, please contact our communications team, the main point of contact for media organizations."
how can i make a complaint about a service at the university of stirling?,"if you have a complaint or are dissatisfied with our services, please inform us. we are committed to addressing issues fairly and efficiently."
where can i find information about making a freedom of information request or requesting environmental information?,"for information about making a freedom of information request or requesting environmental information from the university, please visit our website."
how can i make a subject access request to the university of stirling for information it holds about me?,"to make a subject access request, please read our guidance on our website."
"who manages conferences, events, and short breaks at the university of stirling?","our award-winning conference venues and facilities for short holiday breaks are managed by stirling venues. you can contact our dedicated conference team for inquiries and bookings."
