question,answer
how can i contact the international student office?,you can reach the international students office at international@stir.ac.uk or by calling +44 (0) 1786 466681
who should i contact before applying to the university of stirling?,"for inquiries before applying, please contact the recruitment team at recruitment@stir.ac.uk or by calling +44 (0) 1786 467046"
how do i apply for postgraduate admission?,"to apply for postgraduate admission, please email postgraduate.admissions@stir.ac.uk or call +44 (0) 1786 466655"
who should i contact for general admissions inquiries?,"for general admissions inquiries, please contact admissions@stir.ac.uk or call +44 (0) 1786 467044"
how do i inquire about ucas clearing at the university of stirling?,you can inquire about ucas clearing by contacting clearing@stir.ac.uk or calling +44 (0) 1786 466166
who can i contact for student support services?,"for student support services, you can contact ask@stir.ac.uk or call +44 (0) 1786 466022"
how can i get in touch with the student union?,"to contact the student union, email theunion@stir.ac.uk or call +44 (0) 1786 467166"
what is the contact number for general inquiries?,"for general inquiries, you can call +44 (0) 1786 473171"
who should i contact for information on international partnerships?,"for information on international partnerships, please email internationalpartnerships@stir.ac.uk"
how do i inquire about the international summer school?,you can inquire about the international summer school by emailing iss@stir.ac.uk
how can i get in touch with the alumni office?,"to contact the alumni office, email alumni@stir.ac.uk"
who should i contact for inquiries about academic registry?,"for inquiries about academic registry, please email curriculum@stir.ac.uk"
how can i get information on academic regulations?,"for information on academic regulations, email academicgovernance@stir.ac.uk"
who should i contact for inquiries about payments?,"for inquiries about payments, email income.office@stir.ac.uk or call +44 (0) 1786 467123"
how do i contact the communication team?,"to contact the communication team, email communications@stir.ac.uk or call +44 (0) 1786 466687"
who should i contact for inquiries about student programs?,"for inquiries about student programs, email studentprogrammes@stir.ac.uk"
how do i get in touch with the data protection office?,"to contact the data protection office, email data.protection@stir.ac.uk"
who should i contact for lodging a complaint?,"for lodging a complaint, email complaints@stir.ac.uk"
how can i reach the faculty management?,"to reach the faculty management, email management@stir.ac.uk or call +44 (0) 1786 467370"
who should i contact for inquiries about the faculty of science school?,"for inquiries about the faculty of science school, email fossfacultyoffice@stir.ac.uk or call +44 (0) 1786 467740"
how do i get information on the faculty of natural sciences?,"for information on the faculty of natural sciences, email naturalsciences.enquiries@stir.ac.uk or call +44 (0) 1786 467753"
who should i contact for inquiries about the faculty of health science?,"for inquiries about the faculty of health science, email health.sciences@stir.ac.uk or call +44 (0) 1786 466340"
how can i contact the faculty of arts and humanities?,"to contact the faculty of arts and humanities, email fahfacultyoffice@stir.ac.uk or call +44 (0) 1786 467561"
where can i find information on fees and funding support for international students?,you can find information on fees and funding support for international students on the university website at www.stir.ac.uk
where can queries regarding the guidelines be sent to the adviser?,"queries regarding the guidelines can be sent to sacsadmin@stir.ac.uk, which will be accessible for the adviser"
having problems logging on or need password reset?,please contact the it services on helpdesk@stir.ac.uk or 01786 467250.
